Source ID,If you could change anything about the sales or design centre process  what would it be?
TAM0815114,More options
TAM0913115,nothing.  it was excellent..
TAM1010106,Nothing
TAM1210118,Allow for changes to be made after the last design center meeting - perhaps charge 150 as other builders do
TAM06161027,"Design center team being just as enthusiastic as Jacqui. She was the reason we bought a Tamarack home. Jacqui's presentation to us sold us the first visit. Understanding that this is sometimes a first building a home, many people arent sure what to expect or don't know what others often choose for upgrades, changes etc. 
Overall your team is amazing. You do a great job and I have sent referrals your way!"
TAM06161010,Nothing.  It was all good.
TAM1212103,waiting in line to purchase the Lot#
TAM04171023,Nothing!  I was absolutely thrilled with the knowledge and level of service I received from the sales office and the design centre process!
TAM1113103,"Information at sales center was misleading. ""Bonus"" offer was turned and construed to make it appear as though the buyers were getting something additional for signing early whereas it was part of the standard features all along. It made the company appear dishonest."
TAM08181031,"Sales process was smooth and Marg was very friendly and helpful every time we visited her, always welcoming us with a smile. We didn't have the full 45 days for the design process, as it's my perception that Tamarack didn't handle properly the post-sales service. We had to proactively visit the design center 3 months after purchasing the home to inquire about when they will contact us for our appointments. It seems that we were contacted the week after only because we raised a flag about the short timeframe for our design process. Then, when we started with the design process we had less than 45 days to complete it, and we felt the rush to provide all the information and decide on things on a shorter timeframe, due to a lack of planning.

Our meeting at Concept wasn't a good one, not too much explanation on the things that we had to decide and what comes standard with the house. Also, no chance to change almost anything as most of the electrical wiring had already been done in the house, as per the Concept advisor, which didn't seem to be true when we visited the house for the first time. Also, no chance add a conduit to run cables through the wall in the living room area, instead they wanted to charge us per each HDMI cable that was required, which does not make much sense to me, but unfortunately due to the lack of options we had to accept. We will probably have to install a conduit ourselves when the time comes, if possible at all.

Ewa from Muskoka Cabinetry was very helpful in explaining our optional upgrades and assisting us through the process, however due to the lack of proper planning for our Design phase, we also felt the rush from her side to provide appliance models in less time than what was initially agreed on.

Morgan from the Design Center did a wonderful job and had a lot of patience explaining some of the options available for our home. I still feel that some questions were left unanswered, but we guess we will deal with those things after moving into the new house.

We were told that a Project Manager from Tamarack was assigned to follow up with us during the design process and solve any questions we may have. We only received a template congratulation letter in the mail after purchasing the house, and that was the last time we heard from the Project Manager at all. We are not complaining at all, but we expected more interaction if someone is assigned for this purpose, especially being first time buyers.

When we visited the house, some TV cable outlets weren't even installed yet, so we weren't able to confirm if we are getting everything that was agreed on. We also noticed that some of the electrical installations were recently performed (and still not completed) so it doesn't make sense that Concept didn't allow us to make any modifications to the original blueprint. A couple of potlights, which we were particularly very curious to see if they were correctly placed, weren't even installed on the day of our visit. We did receive protective gear (helmets), but not boots or glasses as stated in the survey, just wanted to mention why we placed a low score on that question. And by the way, the person who joined us from Tamarack for that visit, he did a wonderful job showing us around and explaining what we were seeing, he made sure we enjoyed our visit.

I hope these comments help on improving the experience for other first time buyers, small things that can make a huge difference."
TAM0716108,The samples were small. There should be a computer programme that allows you to see your selection in a virtual environment.
TAM12191009,"Nothing comes to mind in terms of suggestions for improvement. The initial list of upgrade options was appreciated and necessary for (pre) planning purposes, but the way in which it is formatted is somewhat confusing until the first design centre meeting."
TAM1015139,"Nothing at all, everything went smoothly."
TAM02182015,"I do not like the sales after I signed the contract. When I talk to them, it seems like I am idiotically. Anyway, it is very difficult to communicate with them."
TAM0915107,Noella was absolutely fantastic
TAM1215126,I would reduce the rate of the house.
TAM0213112,"Appliances to include with the house; OR increased design centre bonus to get appliances.

Great selection of standard options and availability.
Design centre experience was great.
Sales centre rep was very experienced and assisted with the purchase."
TAM0613113,"I really enjoyed going through the entire sales and design centre process, and definitely look forward to another Tamarack home!

The only thing that I'd like changed would be the addition of a timeline chart of the entire process (signing of initial agreement to closing day (and beyond). I understand that the ""Playbook"" outlines all these steps, but a chart would have been helpful for a visual learner like myself.

Thanks Tamarack!"
TAM0717106,Nothing
TAM1110110,"Unfortunately I was out of town due to death in the family when the sales office contacted me for the construction visit. I would had liked to do the inspection myself but was told that they couldn't wait the 3 days I was still going to be absent so the representative did it for me and assured me that everything noted on the contract had been verified and or modified. When returning to town a few days later, I was allowed to visit the interior of my house but the insulation and gypboard were already completed therefore could not verify certain options such as the reinforments for certain lights and placements of studs where I had a plug and conduit added in the kitchen for hanging a television. I did notice a few things that still have to be checked out such as the electrical boxes for the bathroom lights to be added and capped and telephone/cable outlet to be verified if there are going to be 2 of them in a certain room of if they forgot to add the 2nd outlet. Under these circumstances, it would had been nice to put off the visit a few days but understand the essence of time. I greatly appreciated the extra time and effort it took the sales representative to verify things for me and taking the time to call me to reassure me about this major step."
TAM0812139,Nothing. Debbie @ Sales & Kim @ Design Center were absolutely amazing. So was the whole Tamarack home buying process.
TAM1111122,I had some difficulty about being told 'yes we can' and signing to purchase...but only later to find out 'no we cant'
TAM07181025,"Sales: have the colour scheme boards available with accurate numbers before assigning to new buildings.  INCLUDE door colour on the boards.  We feel the door colour is not reflective of professional designers and makes a tasteful building look tacky and cheap. 

Design Centre: Ensure accuracy of the selections and they are recorded correctly.  Focus more on customer service.  We felt valued as customers at the sales centre but not so much at the design centre.  Want to highlight we did receive excellent customer service from Eliza and she should be recognised for this!"
TAM1210104,"We would like to have more time with our design consultant. We realize that we were free to browse on own our time; however, our design consultant was so much more knowledgeable about your selection and what worked best together than we were. It would have been wonderful to have more time to use her expertise."
TAM11171012,Make the staff be more pleasant.  The sales person.
TAM0816127,"Design Centre Process - we need more time! It's a bit overwhelming to make all of the selections in 3 meetings, especially when the initial one is more of a guided tour of the design centre.

Otherwise, loved the choices and available support!"
TAM05181010,Friendly and professional service.  Highly recommended!
TAM09181025,"Some things that I liked about Tamarack were also those that I disliked for different reasons. 

For example, the design process is very streamlined and quick. On the other hand, having such a strict approach to these appointments (offering 3 appointments), likely helps Tamarack to stay on track with their closing dates and avoids other hassles.   Thankfully we had a good idea of what we were looking for and prepared a lot outside of the three appointments. . If I could change something I think it would be that design appointments have some flex, depending on the amount of upgrades being done to the home. 

One other change I would consider making is a bit more ease to reach a design rep/centre via telephone. Some conversations are much easily expressed via phone as opposed to email but it seemed that phone lines were not answered.  If we left a message, this would be returned via email. 


All in all, we're very happy with the end result of our design choices and hope that these translate properly to the house."
TAM0815108,open on fridays
TAM10171035,Have an office on the west side of Ottawa to do upgrades and not have son May meetings
TAM0713109,"Nothing to this point.

Note:  Bought a house already built.  No selection or construction walk through."
TAM12171001,"A better way to check and ensure that all selections made at the design centre were correct. The purchaser having more details and matching of item numbers with the sign-off sheet.  Our only issue with this entire process were the interior doors that my family, all of three of us, feel are the wrong doors that have been installed in our home.   The people who work for Tamarack are all amazing people, the most helpful and truly lovely people to deal with.  We received several calls to deal with the situation but at this time, we have family issue back home six hours away and can't deal with this now.  We don't want to fight with anyone."
TAM10191054,N/A
TAM0515106,They did not give us enough options for the colors of the house. I did not know I had to pay extra if I chose a different color in a room.   The sales lady did not tell me about extra cost only after I signed and paid.
TAM0611119,"Sales process was unorganized when it came time for the lot release, I was one of many who slept outside experienced the chaos on the release date...   One or two more appointments with the designer would have been beneficial.  The length of time to complete the design process was too short and the time to receive pricing was too long.  I also wish Tamarack would consider some exceptions past the cut off time. Also, this day and age people mount their TV's above the firecplace, I was surprised during the frame walk through thatTamarack doesn't account for this with the addition of a few extra 2x4's for wall mounts, this should be standard, I am still waiting to find out if this was added to our home after notifying our sales rep.  All in all the experience was good, we look forward to moving in to our new home !"
TAM0610123,"The only thing I can recommend is to have better communication and knowledge between sale, design center and Contractor. Just to make it easier when there are questions that there are better knowledge as oppose to sending you somewhere else for an answer"
TAM03182004,interactive App that would show you how everything is going to look.
TAM0809103,"Very well organized, thoughtful and warm welcoming."
TAM0414117,Perhaps a little more time to choose
TAM0610144,"There is nothing wrong with the current process. If have to come up with new ideas, we would like to see a writing schedule for each steps after contract being signed. The schedule will tell us when we need to arrange the mortgage, each steps of working in design center, frame check etc..  That schedule will make whole process more transparent.  But the current process is working well."
TAM1111146,That the workers are notified about what should and should not be removed according to the purchase and sales agreement of the buyer.  Lanscaping/shrubs and patio stones were removed at the front of my house that should have remained as per my sales agreement.  It was replaced with grass that I am not happy with.
TAM0610100,"1) Appointment Process: I do agree that 45 days are guidelines but it could be respected by providing second appointment within 30 days not after 40 days that what happen in my case, which would delay my closing date.
and that has cost you little extra on your interest payment.
2) Site Supervisor supposed to check the work of contractor against the design drawing.In my case, Contractor has installed the Fireplace according to sales drawing, which has resulted in rework of many people.

Thanks for considering my opinion."
TAM1015105,Air conditioning I got caught at last minute during the frame check.  The design centre didn't tell us if we didn't take air conditioning right then that they would have to tear down one of the ceilings.  I had 48 hours to get the approval for air conditioning.  I had to pay out of pocket rather than put it on the mortgage.  It was a hassle.  In the upgrades I had to really check the billing on it due to many errors.  If I hadn't owned a home before my daughter would have been very overwhelmed.  I wasn't impressed with the design centre.  She was nice but she should know her job.  The sales people were good though
TAM08181023,Design center we felt we were rushed. It seemed when the our appointment time was up we were rushed.
TAM0909123,A computer program to show how the colors and designs chosen look all put together and access to it from home before the meeting.
TAM1111115,"I would not be so greedy in the markup applied at the design centre.

From crazy lot premiums, ceramic baseboards priced illogically (and when they responded their response had holes in t it and did not even have the courtesy to reply to my email pointing out their mis-calculation), to $240 for a shower light - home depot less than $100 - and it doesn't even include a switch, to Moen curtain rods marked up about 500%, etc....

I realize Tamarack is a track builder and they can do this b/c they 'can' and people will pay for it... they still need to realize that nobody forgets being gouged and they are already being paid quite well for the home itself.

Like I said... be LESS greedy and YOU will SELL MORE homes and the people who buy them from you will be much happier in the process and will make more referrals... otherwise its a short term vision and people will eventually get tired of being raked and will go elsewhere..."
TAM0415103,Be able to visit our unit once every week or two. To see how things are moving along.
TAM1213112,I was not impressed with the way they installed the brick from outside there is a lots of cracks and dents!!
TAM08181003,The hours at the sale centre should start earlier. Base options are inadequate. When I asked about the taxes on the upgrades I could not get a straight answer! Some of the upgrade prices were ridiculous. I wanted to upgrade to laminate in the basement since my husband has asthma and the price that was given was outrageous. And no credit was being given back for the carpet. It would be nice to be able to have an approximate final price of your house prior to purchasing it. I found that a lot of things “needed” to be upgraded and we ended up going over our budget.
TAM0913100,"There's not really anything that we would change, everyone was nice and everything went well.
But it was always really hard to schedule an apointment.
Apart from that everything was great."
TAM1013120,NA
TAM0211102,"I would have appreciated the initial options that were available over and above elevation, lot, brick color etc. such as door styles etc. to be offered similiar to how options are presented at the design center."
TAM06161005,Make the option catalogue more clear with regards to kitchen cabinets.  It was very misleading.  Other than that our experience was amazing. Mandy Mason at the design centre and Noella Francoeur of the sales centre were excellent and very impressive with their knowledge and customer service.
TAM1014111,"I had to deal with a few frustrations related to the design process.  I found that there were not enough choices for countertops with the colours I was choosing with cabinets, flooring, etc.  Nothing matched, and I ended up choosing things I will probably replace.  It would have been nice to be able to go to a company for more options, like we could for ceramic for example.

Also, after choosing my hardwood, I was told later that I could not have it anymore because the hardwood company had been changed for my house.  This ended up being very frustrating and ended up costing me more than 1000$ extra which was not planned because I could not find anything that matched my cabinets and other selections with the new floorings available with the new company.  I had to upgrade to get something similar to what I had originally chosen with the initial hardwoods.  

Other than that, things have been good so far.  I look forward to seeing the final product."
TAM05181013,I was not being updated sooner about my house closing date. To this date I still have not received any response regarding this issue so I don’t know when the house can be closed and when I expect to have a frame walkthrough. Maybe it is better that someone can explain it to me.
TAM0514104,Notification of items that are going to be discontinued
TAM1110133,"1) Clients should be better aware that structural changes cannot be made once the city has approved the plans.Clients should be more aware of what constitutes a structural change.

EXAMPLE :It was at this stage that we decided to have hardwood added to the stair step treads and have the risers and stringer painted white. 

We were told that this was a structural change because we were now changing the height of the riser. 

Even though the contractor had yet to start making the stairs we were told that this could not be done.Now we are stuck with something that will cost us about $8000.00 to change after construction. 

2) Roof vents should be upgraded by builder and standard in all homes. The plastic mushroom caps are poor quality and look low grade on these homes. Even Mattamy is using the better flute type vents.This comment has been made by several new owners that we have met .

Regards 
Mark"
TAM0612113,"It is our second time building a new house, and overall we are satisfied, but the biggest take-away from our experience with Tamarack is that there isn't much flexibility.

- Having more flexibility when it comes to options such as lighting and handles would have been appreciated.  It would be nice if we could have chosen our own handles/lights and have had the builder install them. 

- Prices for upgrades are very expensive (i.e. garage door opener, under-cabinet lighting, etc.) and greatly discouraged us from choosing them.  Had the prices been reasonable, we likely would have purchased these items from you instead of from a third party.

- Having more flexibility when it comes to the closing date would have been nice.  When the house is built and waiting for the interior design, +/- a couple of days should not be the end of the world when the closing date is three months away. (Our last builder did all the interior in three weeks!)

- Throughout the buying process, Tera was amazing, very helpful, and always available.  She gave us a lot of ideas, information, personal experience which helped us in our decisions.

- The staff in general was knowledgeable and nice."
TAM0812125,"""It would have been useful to have had more time with the design consultant.

Also, our home has been sitting at a much advanced phase of construction than the home next to us however, they have an earlier closing date.  We were under the impression that changing our closing date should not be a problem but were later told that you 'do not change closing dates'.  As a result of our military relocation, we will be homeless (seemingly unnecessarily) for 6 weeks.  We are likely moving back to Kingston next summer but will likely reconsider buying building through Tamarack because of the lack of consideration and absence of a reasonable explanation."""
TAM07191045,"There are a few things I want to comment.

(1) During the sale process in June 2018, one of the bonus your salesperson highlighted was a 6-month free Internet + TV package which is worth around $1000. This was printed black and white in my contract. However, now July 2019, I found out Cogeco no longer has this deal. In between, I was not informed about this change by Tamarack Homes. Anyway, I think this promotion is very misleading, which led to my disappointment.

(2) During the sale process, there was no mention that Tamarack Homes won't install eavestroughs. It's also not an option for a upgrade. I mean I put my trust in a professional builder like Tamarack, at least let me know in advance. I found out about the missing eavestroughs during a raining day when I visited the site and I saw large amount of water dripping from the roof right above my garage door. This is another not-so-pleasant surprise. As a buyer, I want transparency. Salespersons should not just focus on what the builder will build, but also what the builder won't build. 

(3) There are a few things lost during the communications, such as a missing laundry tub in the basement, a wrong sink was removed in a bathroom. These errors were quickly corrected. I just thought if there were better communications between your sales persons and site stuff, a lot of errors could be avoided. In turn, it will make both your staff and my whole home purchasing experience less stressful. Anyway, I want to say there is room for improvement.     

(4) Finally, the design of this survey. The term ""Frame Check Walk-Through"" is being used in the survey. What I had was a ""Mechanical  Walk-Through"". I figured out the two terms are probably refer to the same activity. However, it can cause some confusions to non-professionals like myself."
TAM1016120,"More sales representatives available to help at design centre.
New standard choices that are more ""up to date""
New design centre location as the building is falling apart and was leaking on us during our visits.
On time construction.
Easier process to make upgrades (not having to go back and forth to vendors).
Design centre hours - open later at night."
TAM0511100,"More visual selections, especially for the Kitchen. Perhaps a photo album.  Show the stain samples on all the wood choices, i.e. show chocolate stain on maple, oak, cherry etc.
Perhaps have a person dedicated to only the kitchen process, with auto cad etc.
When we came in for our interiors we were booked for only one hour and we were expected to select the kitchen too, our manual said that we should get three hours?
Overall we felt very rushed.  It's a very big ticket purchase, so we expected a higher level of customer service, and we noticed as the moved farther along in the process, custom service dewindled"
TAM0514108,I don't think I would change anything.
TAM0713113,"Yes, there is a false sense of value for quotations received through the design centre. Clearly Tamarack is overcharging for even the simplest upgrade. Phone call to the President (Chris) was not even returned when he personally said he would be responsive to his clients. Very disappointed in the design center as a whole. Always changes appointments and making it difficult to see a representative during the evening. We did find Muskoka to be exceptional in contrast. With this design centre experience we would not recommend Tamarack to anyone who wishes to do any upgrades or spend good money on overpriced upgrades. Better to either not buy Tamarack or line up a bunch of contractors to do the jobs after you move in. This message should be a wake up call to the executive."
TAM04191016,Design center should have someone on the weekend to help it out if needed
TAM0612133,"sales, design and construction should be connect each other more tighly so that we could reach any of them to address any issues related to structure, design or contruction."
TAM0110120,"More time to review choices made at the Design Centre stage. We always felt rushed at every meeting we had. We were forced to make deicisions very quickly and in a hurry.
Better information on how to deal with the different suppliers for upgrades. 
Starting this process earlier to avoid delay in construction. Our construction was on hold for 2 months whille completing this process."
TAM10191016,"Valarie, Darlene everyone got it, all good."
TAM0714109,"The process of waiting for quotes from the supplier tended to take a while and we felt a little rushed with our final decisions based on the delay of these responses.  While we understand that it is difficult to get a price list with all potential upgrades, it may have helped expedite the process.  As a result, having a list of price ranges (with available choices within those ranges) would have been beneficial.  Overall, however, the experience was terrific!"
TAM0414114,"Reasonable changes should be allowed at different stages, ie, once structural  is signed off on, there is absolutely no way to revisit it- even very early in the process. They could also use a better system for tracking changes and updates so it isn't confusing to the buyer. I felt like I had to constantly go back to emails to make sure nothing was missed. Additional options added to kitchen plan as potential upgrades appears deceptive. We were told we would be able to inspect the wiring and framing at the frame check, but it was all drywalled up and we couldn't inspect anything inside the walls. We did have an issue with something being in the wrong place. Cable was supposed to be up on the wall but it was down on the floor. We have an outlet where it was supposed to be, but the cable wasn't. We asked about it and how we could handle it, but we haven't had any response from two messages, and when I tracked someone down they agreed that they remember our conversation and said they would get back to me. Our granite was supposed to be inspected, but it never was. We have 6 contacts and they chose to only call our home number while we weren't home, so they went ahead and cut the granite without our inspection. We were concerned about it as it's a big expense and we didn't get a chance to take a look. This is our third house we've built, and of the three this is our most expensive house, and we are the least satisfied with it."
TAM0613119,Kingston Woodhaven - the design centre does not have good lighting in the room with the samples so if the room is not flooded with sunlight it is challenging to view some samples to appreciate the colours and how they match with other samples.
TAM10191039,"Nothing to change, 
The team is great"
TAM0317102,"We were shocked that in 2016, the sales/design/upgrade process still relied on mountains of paperwork and selecting options through a catalogue. It was a confusing and frustrating experience. I would recommend investing in software. In this day and age, a buyer should be able to visually see a potential home and select/view any proposed options through 3D renderings on a computer. It's amazing the process hasn't changed!"
TAM0717108,"Both processes were great, but we found there was sometimes a lack of consistent messaging regarding timelines depending on who we spoke to. Our sales rep would indicate one timeline, which would be contradicted by our design centre consultant."
TAM0714103,"As per completed questionnaire: Nothing: You have excellent team very knowlegable, curtious best company known by the people its keep. For us best builder in town.
Kept 10 years got good price Tamarack offord model(708 Blue Vale LN Riversid South excellent home design by Berry Hobbins. 2nd time buyer, 3rd one we are working on it."
TAM11191011,"the time taken between purchasing and occupancy was long, particularly for someone who wants to occupy quickly."
TAM0815127,"We bought a charleston model and love it, just wish the furnace etc were set up different to create room for even a small spare bedroom"
TAM0113112,enlarge the garage to 20*20 from 18*20
TAM0816131,So far this has been a great experience. We have not built before but from what I have heard and witnessed through friends Tamarack is a premier builder.
TAM1112109,"He saw his floor plan on paper but, there was no model home to walkthrough of the one he purchased.  He doesn't like the layout now that he is in it.  He would recommend having a model home for each type of home."
TAM04191021,I would add more to the standard options you have! It is so limited and not in style! You get surprises with the amount of money you spend on upgrades!
TAM0812126,"Design Center - An online selection of samples you can view before visits, and later hours on weeknights. More pricing info for self serve, may save time with the consultant onsite, as one could evaluate options and compare costs."
TAM12191005,"The choosing went well but when it came to finalizing, we had questions and in order to get an answer we had to contact the supervisor and we were concerned  that we would not be signing in time"
TAM0313108,"I wish I had more time to make decisions, looking back I already know something’s I would like to change which is frustrating.  I felt rushed.  I am not a very visual person, so I found it really hard to “see” what my choices will look like.  I will admit that I am nervous I will not like my selections."
TAM0912121,"""All structural options should be offered and explained with a reminder of the dates following which changes cannot be made even though this is in the purchase and sale agreement. All changes to model homes (upgrades) should be noted specifically for each model in lieu of the general info sheets available in each home. More time should be allocated to the structural change deadline. 
Design centre experience is great but could use more time with the designer prior to finalizing choices. 
Still a superior product with excellent personnel in place to address any and all concerns. Very impressed with how personal it is despite the number of builds. Don't lose that!"""
TAM1016125,"Design Centre Process - very rushed, felt like I was being a burden when I asked questions, not very good at giving suggestions, felt that design centre rep was just trying to get through process as fast as possible,in fact seamed frustrated at some points"
TAM0611130,No issues with the design centre process other than an issue with the person we originally met with at Muskoka for the kithcen design.  This issue was communicated to Tamarack and quickly resolved.
TAM0514102,Absolutely nothing!!! Deborah and Chrustine wee just amazing to work with!!
TAM05181006,"Tamarack should not charge for minor changes and requests, grout colour changes, asking for additional plug points, reinforcement for a ceiling fan, a few extra pot lights. We also wanted to change the orientation for the garage to get more light right at the beginning and even though it could be done at that time, it was not considered. We felt that we were nickle and dimed for small things.
On a positive note, the staff and sales people and workers have been very friendly and helpful and willing to listen and answer our questions always. we always feel welcome in your Findlay Creek sales centre and the staff there is very cheerful, friendly and helpful."
TAM0112104,Nothing at all.
TAM1113105,Nothing!
TAM0611129,"ABOUT THE DESIGN CENTRE - TO GET THE PRICING ON TIME SO THAT WE COULD MAKE THE SELECTIONS PROPERLY. AND ALSO TO BE ABLE TO CHANGE COUPLE OF THINGS AFTER SIGNING THE DOCUMENTS AS THERE MIGHT BE SOME LAST MINUTE CHANGES WE ALL AS BUYERS WOULD LIKE TO DO AS 'HOMES ' ARE BIG AND FOR MOST OF US ONE TIME INVESTMENT (AND NOT LIKE CARS, OR OTHER COMMODITIES ) ."
TAM1014123,"Don't nickel and dime over simple chages ie: hosebib location, it's already there, house hasn't been built yet, why charge to move it??"
TAM0614115,"Design: they were pretty good, maybe not having a distinction (hardwood flooring, different selections of wood for diff. developers) found that strange."
TAM04182021,"They should respond to customers when they try to contact them. I went to the office five times, I called and emailed multiple times and no one answered. Also, they delayed the closing by one month and ten days. The Sales Director emailed me saying that I had not completed the design selections. This was not true, I had completed everything but I was just waiting for the papers from Tamarack so I could sign them. My wife is pregnant and now her due date is the same as the new closing date. Now I have a new baby coming and I have to move on the same day."
TAM12191012,Design centre is about making choices on different colors and different materials for the home.    If they had pictures of how things look together not only samples what it will look like putting all those samples together the customer would benefit from this getting the whole picture.
TAM0710129,I would not change a thing my experience so far as been very positive.
TAM0614214,More clarity in upgrade costs leading up to the design centre process.
TAM0510100,Design Centre very disorganized and extreme lack of attention to detail!  Poor communication (with exception of Chantal and Sheri!) follow-up very poor.
TAM0517113,"Jacqui was very knowledgeable and took care of MOST questions. She was great until we signed the contract and then it seemed that her portion was completed and we were now in the process.... She has taken questions and emails from us since then but she has the notion that Tamarack has been VERY accommodating in rectifying problems when the customer service has definitely been lacking. We have had small issues and concerns that arose, which WE had to notice, and we ere often pointed to the next person to have to deal with  (never really smooth process). Carolyn at the design process was often not easily reached, not knowledgeable about cost and upgrades, made us feel silly for asking questions where we required assistance. There was an issues with what is available for viewing in the model home (which sold us on the specific house) and apparently was changed over the years. None of this was explained to us and were going to be charged to make OUR design like the model home. Eventually worked out but with us arguing and catching a lot of the issues ourselves. On to the walk through...I only contacted Pierre when I was told too, and he was often very unpleasant and unaccommodating. When I asked for some possible accommodations he was very cold and blunt regarding problems we had with the 9-2pm 'office hours' and his response of that's Tamaracks rules. We understand the rules that are set but the communication to a customer was poor customer service. Overall, I think Tamarack houses are incredible in terms of quality (but we are paying for it), but the building process, I do not recommend to friends. We were told from others some members (facets) of the Kingston staff were difficult to deal with, but wanted to build our own home. We were told it would be fun and exciting. We are excited to see the finished product but due to our own attentiveness to detail and questioning things as first time builders, have caught a lot of simple errors and mistakes. We feel that this is not 'our' job to have to catch these errors and that makes us not overall pleased or comfortable with this whole process. I find this all amazing because we are definitely not picky people and could not imagine how someone would react if they were dealing with some of the customer service issues we have had. I am sorry for laying this all out in a 'survey' but feel like it needed to be said. Again, we are very excited to get our finished home and know that Tamarack has an excellent reputation for their builds, however, we just wish this 'building' process didn't sour some of the experience. Thanks for reading and have a great day."
TAM1016116,Include a graphic design of the house after you choose the upgrades to make the experience better and give better prospective of how the house will look.
TAM08181054,I would have the design catalogue be representative of the upgrade options that are available in a particular model. Our catalogue listed several upgrades that we wanted that were apparently not available to us. Also there was a disconnect between sales and the design centre on when some upgrades had to be selected (tiled shower base) and in the end we were not able to get the particular upgrade. We were also given misinformation on one of our upgrades which caused a delay in the design process and significant frustration on our end.
TAM1209118,"Say what you do and do what you say. If the company really care about the quality and its customers' opinions, the best way is to visit the people who are living in the houses built by Tamarack. This kind of feedback may just be an red tape and will not make any difference to what the company is doing and will be doing."
TAM0915101,"A follow up of the changes/remarks made during the framing walk through.
Have the lists of upgrades at the time of sale as it could impact budget/model selection."
TAM0815105,"Nothing really, all were friendly, knowledgeable and helpful."
TAM0516107,Give us more time to think about design center upgrades and get more info
TAM06172005,Everyone I met was professional and genuinely helpful.  I like that the Tamarack build is smaller/more community focused over other new developments.  I really enjoy nature trails and like that there is also going to be public access to the creek with pathways as part of a larger community building vision.
TAM0710128,At the sales office we were not told about what changes could be made to the plans. We were never told that the basement bathroom could be moved.
TAM0914110,"We don't remember providing expressed permission to provide our contact information to CustomerInsight in order to survey us regarding our experience. In the future, expressed permission to share our contact information should be requested and permission granted. 

There were a few instances during structural and design phases, when dealing with multiple Tamarack representatives led to confusion and delays regarding our specifications and changes. All Tamarack reps certainly did their best to help, but really what was needed was a consistent rep who knew our needs well and/or to speak directly to those responsible for making the decision. For instance, there was quite a bit of confusion regarding structural changes to our basement, exterior colour selection and the selection of our hardwood."
TAM0710123,"Make sure the sales and design offices talk to each in coordinating schedules. For example our closing date was moved up twice because the design centre did not have any suiteable dates in their calendar for final selections. This is totally unsatisfactory. Also, the sales office gave misleading information with regards to structural changes (e.g. basement rough-in) and told us that would be done at design centre... which was incorrect.  Clearly Tamarach had an excellent sales year and I hope that they increase their capacity along with the demand. I certainly hope that the after sales service and build quality do not suffer due to the increased demand."
TAM08191023,nothing
TAM1118118,Flexibility regarding exterior choices
TAM1109119,"We have noticed a problem in communication between Head Office, Sales Office and Design Center.  We found out for example, that the drywall had been finished in our home before we had even made our selections even though the official go-ahead had not been given either by the Design Center or the Sales Office.  Serge took a quick tour through the house during construction and noticed this and that several other things had not been completed properly (no fireplace installed in basement, ceiling not prepared for pot lights, no additional outlets had been installed as requested.  We are a bit concerned that our home will not be properly finished or that it will be done in a manner which is unsightly.  

I also would like to comment that the mark-up for services and products is extremely high, forcing us to choose lower quality products when we could easily purchase the better ones if it were not for the ridiculous profit margin you impose."
TAM10171036,Give more time to review documentation. Allow for time to get pre-approval for a mortgage.
TAM0615129,"more flexibility for closing date,for those who has to sell their present home"
TAM09171013,"There were missed communications on available upgrade options,  mainly for structural upgrades.  Freestanding bathtub, exterior stone, kitchen bulkhead was to follow the upper cabinets, fireplace upgrade (upgraded size was communicated - however not the fact that the model had it raised above the ground).  At the framing inspection we noticed the kitchen bulkhead was not as we had requested nor was the fireplace.  Luckily we were advised the bulkhead would be corrected but unfortunately, the fireplace could not be raised above the ground like the model - it was too far along in the construction.  We are disappointed about the fireplace. Therefore, my recommendation would be to ensure sales office and design centre communicate all possible upgrades at the appropriate time, allowing buyers enough time to consider them.  Otherwise, the sales, design and construction staff have all been fantastic, knowledgeable, professional and courteous. Our experience so far has been very good.  Thank you for the opportunity to provide comments."
TAM01201002,N/A
TAM0717117,"Better organization of samples - tiles and backslash in particular. Chose all from subs, not at design center location."
TAM0411121,"Up to this point, where we've just gone thru the sales and design stages; we were a little bit dissapointed with the fact that Tamarack has become reluctant to give us the opportunity to change the stairs (originally we wanted in wood and not in carpet) The explanation was that due to the fact that the house was a quick occupancy one, that decision was made in advance. Still don't understand why not approve the change if we were willing to pay for it. And quite honestly that change don't think would take that much of a toll in terms of timing to deliver the end product. Our point here is that there should be a little bit more flexibility on those situations. We understand the negative in the case of a structural change of the original plans, if that involves the need of government approval and has legal implications. Don't think the stairs change we were asking could be considered in that category. Another change that we would suggest is that a few items that we wanted to add to the house (regarding the fire place and bathrooms), the Design Center provided us the contacts to do the inquired on our behalf, but the quoting would only be provided to Tamarack and not us... Why is that? I do the call and the third party contacts the builder... I understand the commercial implications of that. Then, shouldn't be more logical that Tamarack takes ownership of that piece, too? You get the specs from the customer and you ask for the quoting. At the end, everything comes down to a budgeted list of yes or no choice... Just an idea."
